,체결시간,거래량,시가,고가,저가,현재가
2567,20170913113100,27383,77000,77100,76900,76900
2566,20170913113200,20250,77000,77100,76800,76900
2565,20170913113300,11728,76900,76900,76800,76900
2564,20170913113400,10902,76900,77000,76800,76900
2563,20170913113500,5426,76900,77000,76800,76900
2562,20170913113600,2903,76900,77000,76900,76900
2561,20170913113700,13620,77000,77000,76800,76800
2560,20170913113800,11599,76900,76900,76700,76700
2559,20170913113900,4944,76800,76800,76700,76700
2558,20170913114000,5329,76700,76900,76700,76900
2557,20170913114100,10869,76800,76900,76700,76900
2556,20170913114200,8569,76800,76900,76800,76900
2555,20170913114300,1744,76800,76900,76800,76800
2554,20170913114400,6343,76900,76900,76800,76800
2553,20170913114500,4912,76800,76900,76800,76800
2552,20170913114600,16311,76900,76900,76700,76800
2551,20170913114700,4368,76700,76800,76700,76700
2550,20170913114800,2677,76800,76800,76700,76700
2549,20170913114900,1849,76700,76800,76700,76800
2548,20170913115000,8569,76700,76800,76700,76700
2547,20170913115100,10618,76800,76800,76600,76700
2546,20170913115200,4079,76800,76800,76700,76800
2545,20170913115300,3710,76700,76800,76600,76700
2544,20170913115400,2526,76700,76700,76600,76700
2543,20170913115500,5356,76700,76700,76600,76700
2542,20170913115600,4469,76700,76700,76600,76600
2541,20170913115700,6257,76700,76700,76600,76600
2540,20170913115800,4330,76700,76700,76600,76700
2539,20170913115900,8525,76700,76800,76700,76700
2538,20170913120000,5414,76800,76800,76700,76800
2537,20170913120100,13332,76700,76800,76700,76700
2536,20170913120200,4660,76700,76800,76700,76800
2535,20170913120300,2166,76700,76800,76700,76800
2534,20170913120400,2229,76700,76800,76700,76800
2533,20170913120500,3065,76800,76800,76700,76700
2532,20170913120600,2377,76800,76800,76700,76800
2531,20170913120700,5742,76800,76800,76700,76700
2530,20170913120800,3310,76700,76800,76700,76700
2529,20170913120900,2032,76800,76800,76700,76800
2528,20170913121000,3252,76800,76800,76700,76700
2527,20170913121100,3495,76700,76800,76700,76800
2526,20170913121200,2692,76700,76800,76700,76700
2525,20170913121300,4451,76800,76800,76700,76800
2524,20170913121400,5326,76800,76800,76700,76700
2523,20170913121500,14760,76700,76800,76600,76600
2522,20170913121600,9860,76700,76700,76500,76600
2521,20170913121700,5071,76500,76600,76500,76500
2520,20170913121800,4384,76600,76600,76500,76500
2519,20170913121900,8404,76500,76700,76500,76700
2518,20170913122000,13389,76700,76800,76600,76800
2517,20170913122100,10055,76800,76800,76700,76800
2516,20170913122200,6872,76800,76900,76700,76800
2515,20170913122300,6306,76800,76900,76800,76900
2514,20170913122400,8246,76900,76900,76800,76900
2513,20170913122500,75922,76900,77000,76800,77000
2512,20170913122600,20063,77000,77000,76900,76900
2511,20170913122700,16475,76900,77000,76800,77000
2510,20170913122800,15946,77000,77000,76800,76900
2509,20170913122900,3814,76900,76900,76800,76900
2508,20170913123000,2384,76900,76900,76800,76800
2507,20170913123100,150159,76900,77300,76900,77300
2506,20170913123200,39052,77300,77400,77200,77300
2505,20170913123300,10818,77300,77300,77100,77200
2504,20170913123400,12790,77200,77300,77100,77300
2503,20170913123500,4372,77300,77300,77200,77300
2502,20170913123600,5485,77300,77300,77200,77200
2501,20170913123700,56609,77300,77400,77300,77300
2500,20170913123800,4244,77400,77400,77300,77300
2499,20170913123900,23774,77300,77400,77200,77200
2498,20170913124000,17014,77300,77300,77100,77200
2497,20170913124100,21845,77100,77200,77000,77100
2496,20170913124200,4427,77100,77200,77100,77200
2495,20170913124300,4068,77100,77200,77100,77100
2494,20170913124400,5384,77200,77200,77100,77200
2493,20170913124500,13803,77100,77300,77100,77200
2492,20170913124600,11260,77300,77300,77100,77300
2491,20170913124700,15026,77200,77300,77100,77200
2490,20170913124800,23056,77300,77300,77200,77300
2489,20170913124900,4194,77200,77300,77200,77200
2488,20170913125000,18233,77200,77300,77200,77300
2487,20170913125100,8002,77200,77300,77200,77300
2486,20170913125200,9981,77200,77300,77200,77300
2485,20170913125300,43994,77300,77400,77200,77200
2484,20170913125400,7305,77200,77300,77100,77100
2483,20170913125500,11885,77200,77300,77100,77200
2482,20170913125600,4035,77200,77300,77200,77300
2481,20170913125700,4036,77300,77300,77200,77300
2480,20170913125800,3993,77300,77300,77200,77200
2479,20170913125900,3159,77300,77300,77200,77300
2478,20170913130000,9351,77300,77300,77200,77200
2477,20170913130100,20755,77200,77300,77100,77100
2476,20170913130200,3014,77200,77200,77100,77100
2475,20170913130300,16913,77100,77300,77100,77300
2474,20170913130400,9496,77200,77300,77200,77200
2473,20170913130500,6034,77200,77300,77100,77200
2472,20170913130600,10911,77200,77300,77100,77200
2471,20170913130700,3534,77300,77300,77100,77100
2470,20170913130800,8563,77100,77300,77100,77300
2469,20170913130900,7408,77300,77300,77200,77300
2468,20170913131000,3801,77300,77300,77200,77300
2467,20170913131100,9363,77300,77300,77100,77100
2466,20170913131200,25294,77200,77200,77000,77100
2465,20170913131300,4706,77000,77200,77000,77200
2464,20170913131400,3961,77200,77200,77100,77200
2463,20170913131500,1610,77200,77200,77100,77100
2462,20170913131600,38708,77200,77200,76900,76900
2461,20170913131700,14077,76900,77000,76800,76900
2460,20170913131800,5832,76900,77000,76900,76900
2459,20170913131900,13163,77000,77000,76800,76800
2458,20170913132000,5882,76800,76900,76800,76900
2457,20170913132100,3560,76900,76900,76800,76800
2456,20170913132200,3061,76900,76900,76800,76800
2455,20170913132300,2018,76900,76900,76800,76800
2454,20170913132400,20074,76900,77000,76800,77000
2453,20170913132500,3099,77000,77000,76900,77000
2452,20170913132600,25621,77000,77000,76900,76900
2451,20170913132700,3240,76900,77000,76900,77000
2450,20170913132800,7999,77000,77000,76800,76900
2449,20170913132900,11162,76900,77000,76800,76900
2448,20170913133000,3966,76800,76900,76800,76900
2447,20170913133100,5612,76900,76900,76800,76900
2446,20170913133200,6201,76900,77000,76800,77000
2445,20170913133300,5378,77000,77000,76900,77000
2444,20170913133400,2931,77000,77000,76900,77000
2443,20170913133500,4062,77000,77000,76900,76900
2442,20170913133600,2833,77000,77000,76900,76900
2441,20170913133700,8157,76900,77000,76900,76900
2440,20170913133800,7004,77000,77000,76900,77000
2439,20170913133900,3462,76900,77000,76900,77000
2438,20170913134000,3540,77000,77000,76900,77000
2437,20170913134100,4743,77000,77000,76900,76900
2436,20170913134200,4143,76900,77000,76900,77000
2435,20170913134300,2463,76900,77000,76900,76900
2434,20170913134400,5402,76900,77000,76900,76900
2433,20170913134500,3641,76900,77000,76900,76900
2432,20170913134600,11861,77000,77000,76900,76900
2431,20170913134700,5877,76900,77000,76900,77000
2430,20170913134800,8082,77000,77000,76900,77000
2429,20170913134900,24122,77000,77100,76900,77100
2428,20170913135000,4110,77000,77100,77000,77000
2427,20170913135100,3444,77000,77100,77000,77100
2426,20170913135200,3949,77000,77100,77000,77100
2425,20170913135300,4666,77000,77100,77000,77000
2424,20170913135400,4245,77100,77100,77000,77100
2423,20170913135500,4699,77100,77100,77000,77100
2422,20170913135600,5245,77100,77100,77000,77100
2421,20170913135700,6069,77000,77100,77000,77100
2420,20170913135800,4241,77000,77100,77000,77100
2419,20170913135900,5308,77000,77100,77000,77100
2418,20170913140000,7117,77100,77100,77000,77100
2417,20170913140100,4521,77000,77100,77000,77000
2416,20170913140200,5023,77100,77100,77000,77100
2415,20170913140300,4149,77100,77100,77000,77100
2414,20170913140400,6690,77100,77100,77000,77100
2413,20170913140500,11086,77000,77100,77000,77100
2412,20170913140600,13659,77100,77100,77000,77000
2411,20170913140700,72687,77000,77100,76800,76800
2410,20170913140800,9252,76900,77000,76800,76900
2409,20170913140900,3144,77000,77000,76800,76800
2408,20170913141000,3432,76800,76900,76800,76900
2407,20170913141100,3668,76800,76900,76800,76800
2406,20170913141200,6078,76800,76900,76800,76900
2405,20170913141300,22661,76900,76900,76700,76700
2404,20170913141400,15758,76800,76800,76600,76600
2403,20170913141500,8053,76600,76700,76600,76600
2402,20170913141600,21916,76600,76800,76600,76700
2401,20170913141700,4596,76700,76800,76600,76700
2400,20170913141800,8593,76800,76800,76600,76600
2399,20170913141900,9916,76600,76800,76600,76800
2398,20170913142000,8023,76700,76800,76700,76800
2397,20170913142100,4871,76700,76900,76700,76900
2396,20170913142200,3995,76800,76900,76800,76800
2395,20170913142300,5590,76900,76900,76800,76800
2394,20170913142400,22971,76900,76900,76700,76700
2393,20170913142500,9975,76800,76800,76700,76800
2392,20170913142600,11275,76800,76900,76700,76800
2391,20170913142700,7665,76700,76900,76700,76700
2390,20170913142800,8867,76800,76800,76700,76700
2389,20170913142900,11291,76700,76700,76600,76700
2388,20170913143000,6791,76600,76700,76600,76600
2387,20170913143100,15937,76700,76700,76500,76500
2386,20170913143200,11746,76500,76700,76500,76600
2385,20170913143300,8334,76700,76800,76600,76800
2384,20170913143400,7905,76700,76800,76700,76700
2383,20170913143500,9966,76800,76800,76700,76700
2382,20170913143600,8764,76700,76800,76700,76700
2381,20170913143700,9352,76700,76800,76600,76700
2380,20170913143800,19035,76600,76700,76500,76500
2379,20170913143900,14919,76500,76600,76500,76600
2378,20170913144000,8175,76500,76600,76500,76500
2377,20170913144100,6357,76500,76600,76500,76500
2376,20170913144200,15803,76600,76600,76500,76500
2375,20170913144300,7110,76600,76600,76500,76600
2374,20170913144400,7295,76500,76600,76500,76600
2373,20170913144500,7283,76500,76600,76500,76600
2372,20170913144600,7005,76500,76600,76500,76600
2371,20170913144700,15013,76500,76600,76400,76400
2370,20170913144800,5414,76500,76500,76400,76400
2369,20170913144900,8123,76400,76500,76400,76400
2368,20170913145000,5976,76500,76500,76400,76400
2367,20170913145100,15212,76400,76600,76400,76600
2366,20170913145200,8762,76600,76700,76500,76600
2365,20170913145300,8281,76600,76700,76500,76600
2364,20170913145400,5998,76500,76600,76500,76600
2363,20170913145500,11039,76500,76600,76400,76500
2362,20170913145600,8259,76400,76500,76400,76400
2361,20170913145700,22732,76400,76600,76300,76400
2360,20170913145800,15667,76300,76500,76300,76300
2359,20170913145900,6715,76400,76500,76300,76500
2358,20170913150000,6063,76500,76500,76400,76400
2357,20170913150100,6800,76500,76500,76400,76400
2356,20170913150200,8810,76400,76600,76400,76500
2355,20170913150300,9971,76600,76600,76400,76500
2354,20170913150400,5488,76500,76500,76400,76400
2353,20170913150500,16430,76500,76500,76300,76300
2352,20170913150600,13647,76300,76400,76200,76300
2351,20170913150700,31678,76200,76300,76100,76200
2350,20170913150800,9673,76200,76300,76100,76200
2349,20170913150900,18821,76200,76300,76000,76100
2348,20170913151000,22171,76100,76200,76000,76100
2347,20170913151100,13300,76100,76200,76000,76100
2346,20170913151200,34487,76000,76100,75900,75900
2345,20170913151300,14068,76000,76000,75900,75900
2344,20170913151400,24432,76000,76100,75900,76000
2343,20170913151500,10390,75900,76000,75900,76000
2342,20170913151600,6277,76000,76000,75900,75900
2341,20170913151700,50889,75900,76000,75700,75800
2340,20170913151800,14512,75900,75900,75700,75700
2339,20170913151900,29558,75700,75800,75600,75600
2338,20170913153000,191615,75700,75700,75700,75700
2337,20170913153500,9514,75700,75700,75700,75700
2336,20170914090000,135885,76300,76500,76100,76400
2335,20170914090100,43127,76400,76600,76400,76500
2334,20170914090200,24663,76500,76500,76300,76400
2333,20170914090300,17142,76400,76500,76300,76500
2332,20170914090400,26012,76500,76600,76400,76600
2331,20170914090500,44754,76600,76700,76500,76600
2330,20170914090600,23385,76600,76600,76400,76600
2329,20170914090700,17491,76600,76600,76400,76500
2328,20170914090800,19114,76500,76500,76400,76500
2327,20170914090900,41778,76500,76500,76200,76200
2326,20170914091000,139299,76200,76200,75700,75800
2325,20170914091100,18110,75900,76000,75800,75900
2324,20170914091200,16464,76000,76100,75900,76000
2323,20170914091300,17040,76000,76100,75900,76000
2322,20170914091400,4742,76000,76200,76000,76100
2321,20170914091500,13412,76100,76300,76100,76200
2320,20170914091600,11118,76200,76400,76200,76400
2319,20170914091700,9920,76300,76400,76200,76300
2318,20170914091800,5847,76200,76300,76200,76200
2317,20170914091900,4156,76200,76300,76200,76300
2316,20170914092000,8497,76200,76300,76200,76200
2315,20170914092100,4736,76200,76300,76200,76200
2314,20170914092200,4133,76200,76300,76200,76200
2313,20170914092300,2818,76300,76300,76200,76300
2312,20170914092400,3256,76300,76300,76200,76200
2311,20170914092500,25220,76300,76400,76200,76300
2310,20170914092600,4578,76300,76400,76300,76400
2309,20170914092700,3947,76400,76400,76300,76400
2308,20170914092800,4487,76300,76400,76300,76400
2307,20170914092900,2196,76400,76400,76300,76400
2306,20170914093000,22859,76300,76400,76300,76400
2305,20170914093100,5873,76300,76400,76200,76300
2304,20170914093200,2251,76300,76300,76200,76300
2303,20170914093300,3969,76300,76300,76200,76300
2302,20170914093400,7103,76200,76300,76200,76300
2301,20170914093500,2705,76300,76300,76200,76300
2300,20170914093600,26902,76200,76300,76100,76100
2299,20170914093700,15078,76100,76200,76000,76100
2298,20170914093800,14028,76100,76100,76000,76000
2297,20170914093900,7810,76100,76100,76000,76100
2296,20170914094000,35821,76100,76200,76000,76100
2295,20170914094100,3864,76200,76200,76100,76200
2294,20170914094200,15009,76100,76200,76000,76100
2293,20170914094300,6585,76100,76200,76100,76200
2292,20170914094400,2605,76100,76200,76100,76200
2291,20170914094500,2174,76200,76200,76100,76200
2290,20170914094600,4584,76100,76200,76000,76000
2289,20170914094700,1329,76100,76100,76000,76100
2288,20170914094800,1227,76000,76100,76000,76100
2287,20170914094900,3654,76100,76100,76000,76100
2286,20170914095000,6080,76100,76100,76000,76100
2285,20170914095100,4214,76000,76100,76000,76000
2284,20170914095200,6828,76000,76100,76000,76100
2283,20170914095300,29822,76000,76100,75900,75900
